19,Front-Wheel Drive,2250,Premium Gasoline,Buick,Riviera,Automatic 4-spd,Midsize Cars,1997,-4500,
19,Rear-Wheel Drive,2250,Premium Gasoline,Cadillac,Catera,Automatic 4-spd,Midsize Cars,1997,-4500,
18,Front-Wheel Drive,2400,Premium Gasoline,Cadillac,Eldorado,Automatic 4-spd,Midsize Cars,1997,-5250,
18,Front-Wheel Drive,2400,Premium Gasoline,Cadillac,Seville,Automatic 4-spd,Midsize Cars,1997,-5250,
21,Front-Wheel Drive,1700,Regular Gasoline,Chevrolet,Lumina/Monte Carlo,Automatic 4-spd,Midsize Cars,1997,-1750,
18,Front-Wheel Drive,2000,Regular Gasoline,Chevrolet,Lumina/Monte Carlo,Automatic 4-spd,Midsize Cars,1997,-3250,
21,Front-Wheel Drive,1700,Regular Gasoline,Chevrolet,Malibu,Automatic 4-spd,Midsize Cars,1997,-1750,
25,Front-Wheel Drive,1450,Regular Gasoline,Dodge,Aries,Manual 5-spd,Midsize Cars,1985,-500,
21,Front-Wheel Drive,1700,Regular Gasoline,Chrysler,Cirrus,Automatic 4-spd,Midsize Cars,1997,-1750,
21,Front-Wheel Drive,1700,Regular Gasoline,Chrysler,Cirrus,Automatic 4-spd,Midsize Cars,1997,-1750,
21,Front-Wheel Drive,1700,Regular Gasoline,Chrysler,Cirrus,Automatic 4-spd,Midsize Cars,1997,-1750,
21,Front-Wheel Drive,2050,Premium Gasoline,Nissan,Maxima,Automatic 4-spd,Midsize Cars,1997,-3500,
21,Front-Wheel Drive,2050,Premium Gasoline,Nissan,Maxima,Manual 5-spd,Midsize Cars,1997,-3500,
23,Front-Wheel Drive,1550,Regular Gasoline,Dodge,Stratus,Automatic 4-spd,Midsize Cars,1997,-1000,
27,Front-Wheel Drive,1300,Regular Gasoline,Dodge,Stratus,Manual 5-spd,Midsize Cars,1997,250,
21,Front-Wheel Drive,1700,Regular Gasoline,Dodge,Stratus,Automatic 4-spd,Midsize Cars,1997,-1750,
